,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作,下载地址

1,“对分课堂”模式下高中生数学课堂参与度的研究,李欢,黄冈师范学院,硕士,2021年,,56,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWapnTqR3RxAVWzlnMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
2,GeoGebra环境下培养初中生数学抽象素养的案例研究,余冬梅,黄冈师范学院,硕士,2021年,,49,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWjJXSJpEaIRzQ0lnMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
3,基于核心素养的高中数学单元整体教学实施策略研究,江文君,黄冈师范学院,硕士,2021年,,198,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWnhURPN0ZBp2LhpnMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
4,HPM视角下人教A版高中数学教材比较,陈佳,黄冈师范学院,硕士,2021年,,67,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWxElR5olbhhDchpnMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
5,基于高中生数学核心素养的深度教学有效性评价研究,刘瑾珲,黄冈师范学院,硕士,2021年,,89,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWpFTeNZzROpWQJ1kMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
6,基于差异教学的初中数学课堂教学有效性研究,李晓霞,黄冈师范学院,硕士,2021年,,50,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWmdHZsZFM4VEVJ1kMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
7,SOLO分类法视角下初中生统计思维水平调查研究,朱妍,黄冈师范学院,硕士,2021年,,39,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWaNEVYZ0M4ZETyR0Nql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
8,数学文化视角下古典概型教学设计策略研究,许逸凡,黄冈师范学院,硕士,2021年,,65,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWCtCVxtSMRxWUxR0Nql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
9,基于学习成效相关性分析的初中生数学学习策略研究,兰玉莹,黄冈师范学院,硕士,2021年,,32,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW5c2UY5kYrJDbK1kMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
